CODE;COMPANY;SECTORS;SUBSECTORS;SEGMENTS
AALL;AMERICAN AIR;Capital Goods and Services;Transportation;Airlines
AALR;ALLIAR;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
AAPL;APPLE;Information Technology;Hardware and Equipments;Hardware and Equipments
ABBV;ABBVIE;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
ABCB;ABC BRASIL;Financial;Financial Intermediaries;Banks
ABCP;FII ABC IMOB;Financial;Financial Management and Mutual Funds;Real Estate Funds
ABEV;AMBEV S/A;Consumer Non Cyclical;Beverage;Beer and Soft Drinks
ABTT;ABBOTT;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
ACNB;ACCENTURE;Information Technology;Software and Services;Software and Services
ADHM;ADVANCED-DH;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
AEFI;FII AESAPAR;Financial;Financial Management and Mutual Funds;Real Estate Funds
AELP;AES ELPA;Utilities;Electric Utilities;Electric Utilities
AESL;AES SUL;Utilities;Electric Utilities;Electric Utilities
AETB;AETNA INC;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
AFLT;AFLUENTE T;Utilities;Electric Utilities;Electric Utilities
AFLU;AFLUENTE;Utilities;Electric Utilities;Electric Utilities
AGCX;FII AG CAIXA;Financial;Financial Management and Mutual Funds;Real Estate Funds
AGRO;BRASILAGRO;Consumer Non Cyclical;Farming;Agriculture
AGRU;GRUAIRPORT;Capital Goods and Services;Transportation;Warehousing and Storage
AHEB;SPTURIS;Consumer Cyclical;Travel, Entertainment and Leisure;Entertainment
AIGB;AIG GROUP;Financial;Insurance, Life and Multi-line;Insurance
ALEF;ALEF S/A;Financial;Others;Others
ALMI;FII TORRE AL;Financial;Financial Management and Mutual Funds;Real Estate Funds
ALPA;ALPARGATAS;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
ALSC;ALIANSCE;Financial;Real Estate;Real Estate
ALTR;ALTERE SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
ALTS;ALTUS S/A;Capital Goods and Services;Diversified Services;Diversified Services
ALUP;ALUPAR;Utilities;Electric Utilities;Electric Utilities
AMAR;LOJAS MARISA;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
AMGN;AMGEN;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
AMZO;AMAZON;Consumer Cyclical;Retail;Diversified Retailers
ANCR;FII ANCAR IC;Financial;Financial Management and Mutual Funds;Real Estate Funds
ANDG;AGCONCESSOES;Utilities;Electric Utilities;Electric Utilities
ANDV;ANDEAVOR;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
ANHB;AUTOBAN;Capital Goods and Services;Transportation;Toll Roads and Highways
ANIM;ANIMA;Consumer Cyclical;Diversified;Educational Services
APTI;ALIPERTI;Financial;Holdings - Diversified;Holdings - Diversified
AQLL;FII AQUILLA;Financial;Financial Management and Mutual Funds;Real Estate Funds
ARFI;FII AQUIL RD;Financial;Financial Management and Mutual Funds;Real Estate Funds
ARMT;ARCELOR;Basic Materials;Steel and Metalurgy;Steel
ARZZ;AREZZO CO;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
ASCP;ECOPISTAS;Capital Goods and Services;Transportation;Toll Roads and Highways
ATCR;FII ATICO;Financial;Financial Management and Mutual Funds;Real Estate Funds
ATOM;ATOMPAR;Financial;Others;Others
ATSA;FII CSHGATSA;Financial;Financial Management and Mutual Funds;Real Estate Funds
ATTB;ATT INC;Telecommunications;Telecommunications;Telecommunications
AVON;AVON;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
AXPB;AMERICAN EXP;Financial;Diversified Financial Services;Diversified Financial Services
AZEV;AZEVEDO;Capital Goods and Services;Construction and Engineering;Heavy Construction
AZUL;AZUL;Capital Goods and Services;Transportation;Airlines
BAHI;BAHEMA;Financial;Holdings - Diversified;Holdings - Diversified
BALM;BAUMER;Health;Equipments;Equipments
BAUH;EXCELSIOR;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BAZA;AMAZONIA;Financial;Financial Intermediaries;Banks
BBAS;BRASIL;Financial;Financial Intermediaries;Banks
BBDC;BRADESCO;Financial;Financial Intermediaries;Banks
BBFI;FII BB PROGR;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBIM;FII BB RECIM;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBPO;FII BB PRGII;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBRC;FII BB CORP;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBRK;BR BROKERS;Financial;Real Estate;Property Agency
BBSD;BB ETF SP DV;Financial;Financial Management and Mutual Funds;Mutual Funds
BBSE;BBSEGURIDADE;Financial;Insurance, Life and Multi-line;Insurance
BBVH;FDC INFRA;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
BBVJ;FII C JARDIM;Financial;Financial Management and Mutual Funds;Real Estate Funds
BBYY;BEST BUY;Consumer Cyclical;Retail;Electronics and Household Appliance
BCFF;FII BC FFII;Financial;Financial Management and Mutual Funds;Real Estate Funds
BCIA;FII BCIA;Financial;Financial Management and Mutual Funds;Real Estate Funds
BCRI ;FII BEES CRI ;Financial;Financial Management and Mutual Funds;Real Estate Funds
BDLL;BARDELLA;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
BDLS;BRADESCO LSG;Financial;Financial Intermediaries;Leasing
BEEF;MINERVA;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BEES;BANESTES;Financial;Financial Intermediaries;Banks
BERK;BERKSHIRE;Financial;Holdings - Diversified;Holdings - Diversified
BETP;BETAPART;Financial;Others;Others
BFRE;BRAZILIAN FR;Financial;Diversified Financial Services;Asset Management and Investments
BGIP;BANESE;Financial;Financial Intermediaries;Banks
BIIB;BIOGEN;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BIOM;BIOMM;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BLAK;BLACKROCK;Financial;Diversified Financial Services;Asset Management and Investments
BMEB;MERC BRASIL;Financial;Financial Intermediaries;Banks
BMII;FII BRASILIO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BMIN;MERC INVEST;Financial;Financial Intermediaries;Banks
BMKS;BIC MONARK;Consumer Cyclical;Travel, Entertainment and Leisure;Bicycles
BMLC;FII BMBRC LC;Financial;Financial Management and Mutual Funds;Real Estate Funds
BMYB;BRISTOLMYERS;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
BNBR;NORD BRASIL;Financial;Financial Intermediaries;Banks
BNDP;BNDESPAR;Financial;Diversified Financial Services;Asset Management and Investments
BNFS;FII BANRISUL;Financial;Financial Management and Mutual Funds;Real Estate Funds
BNPA;BONAIRE PART;Utilities;Electric Utilities;Electric Utilities
BOAC;BANK AMERICA;Financial;Financial Intermediaries;Banks
BOBR;BOMBRIL;Consumer Non Cyclical;Personal Care and Cleaning Products;Cleaning Products
BOEI;BOEING;Capital Goods and Services;Transportation Equipment and Components;Aerospace and Defense
BONY;BNY MELLON;Financial;Diversified Financial Services;Asset Management and Investments
BOVA;ISHARES BOVA;Financial;Financial Management and Mutual Funds;Mutual Funds
BOVV;IT NOW IBOV;Financial;Financial Management and Mutual Funds;Mutual Funds
BOXP;BOSTON PROP;Financial;Real Estate;Real Estate
BPAC;BTGP BANCO;Financial;Financial Intermediaries;Banks
BPAN;BANCO PAN;Financial;Financial Intermediaries;Banks
BPAR;BANPARA;Financial;Financial Intermediaries;Banks
BPAT;PATAGONIA;Financial;Financial Intermediaries;Banks
BPFF;FII ABSOLUTO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BPHA;BR PHARMA;Health;Retail and Distribution;Pharmaceutical and Others Products
BRAP;BRADESPAR;Basic Materials;Mining;Metalic Minerals
BRAX;ISHARES BRAX;Financial;Financial Management and Mutual Funds;Mutual Funds
BRCR;FII BC FUND;Financial;Financial Management and Mutual Funds;Real Estate Funds
BRCS;BRC SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
BRFS;BRF SA;Consumer Non Cyclical;Food Processors;Meat, Poultry and Others
BRGE;ALFA CONSORC;Financial;Financial Intermediaries;Banks
BRHT;FII BRHOTEIS;Financial;Financial Management and Mutual Funds;Real Estate Funds
BRIN;BR INSURANCE;Financial;Insurance, Life and Multi-line;Insurance Brokers
BRIV;ALFA INVEST;Financial;Financial Intermediaries;Banks
BRKM;BRASKEM;Basic Materials;Chemicals;Petrochemicals
BRML;BR MALLS PAR;Financial;Real Estate;Real Estate
BRPR;BR PROPERT;Financial;Real Estate;Real Estate
BRQB;BRQ;Information Technology;Software and Services;Software and Services
BRSR;BANRISUL;Financial;Financial Intermediaries;Banks
BSAN;BANSANTANDER;Financial;Financial Intermediaries;Banks
BSCS;BRAZILIAN SC;Financial;Asset-backed Securitization;Asset-backed Securitization
BSEV;BIOSEV;Consumer Non Cyclical;Food Processors;Sugar and Alcohol
BSLI;BRB BANCO;Financial;Financial Intermediaries;Banks
BTGM;FII BTGMALLS;Financial;Financial Management and Mutual Funds;Real Estate Funds
BTOW;B2W DIGITAL;Consumer Cyclical;Retail;Diversified Retailers
BTSC;BETA SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
BTTL;BATTISTELLA;Financial;Holdings - Diversified;Holdings - Diversified
BVAR;FII B VAREJO;Financial;Financial Management and Mutual Funds;Real Estate Funds
BVLS;BV LEASING;Financial;Financial Intermediaries;Leasing
BVMF;BMFBOVESPA;Financial;Diversified Financial Services;Diversified Financial Services
BZRS;BRAZIL REALT;Financial;Asset-backed Securitization;Asset-backed Securitization
CABB;CABAMBIENTAL;Utilities;Water Utilities;Water Utilities
CABI;CABINDA PART;Financial;Others;Others
CACO;CACONDE PART;Financial;Others;Others
CAIA;CAIANDA PART;Financial;Others;Others
