TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
1,2017-11-24,2,AALR3,10,ALLIAR,ON,,R$,15.7,15.95,15.58,15.83,15.95,15.95,16.0,308,145500,2303562.0,0.0,0,9999-12-31,1,0.0,BRAALRACNOR6,100
1,2017-11-24,2,ABCB4,10,ABC BRASIL,PN,,R$,16.83,16.83,16.5,16.57,16.6,16.55,16.6,1251,745000,12347623.0,0.0,0,9999-12-31,1,0.0,BRABCBACNPR4,128
1,2017-11-24,2,ABEV3,10,AMBEV S/A,ON,,R$,20.66,20.74,20.52,20.66,20.62,20.62,20.66,10651,4749100,98118316.0,0.0,0,9999-12-31,1,0.0,BRABEVACNOR1,117
1,2017-11-24,2,ADHM3,10,ADVANCED-DH,ON,,R$,2.06,2.06,2.0,2.05,2.06,2.0,2.06,8,12600,25866.0,0.0,0,9999-12-31,1,0.0,BRADHMACNOR9,101
1,2017-11-24,2,AELP3,10,AES ELPA,ON,,R$,5.06,5.07,5.05,5.05,5.05,4.05,5.05,9,7800,39398.0,0.0,0,9999-12-31,1,0.0,BRAELPACNOR2,124
1,2017-11-24,2,AGRO3,10,BRASILAGRO,ON,,R$,12.14,12.14,11.98,12.05,12.13,12.0,12.13,99,25800,310919.0,0.0,0,9999-12-31,1,0.0,BRAGROACNOR7,107
1,2017-11-24,2,ALPA3,10,ALPARGATAS,ON,,R$,16.27,16.5,15.4,15.84,15.95,15.47,15.96,18,3300,52300.0,0.0,0,9999-12-31,1,0.0,BRALPAACNOR0,223
1,2017-11-24,2,ALPA4,10,ALPARGATAS,PN,,R$,17.51,17.55,17.05,17.19,17.2,17.1,17.2,633,1228700,21132728.0,0.0,0,9999-12-31,1,0.0,BRALPAACNPR7,223
1,2017-11-24,2,ALSC3,10,ALIANSCE,ON,,R$,17.27,17.59,17.22,17.43,17.59,17.36,17.59,1091,214800,3745739.0,0.0,0,9999-12-31,1,0.0,BRALSCACNOR0,110
1,2017-11-24,2,ALUP3,10,ALUPAR,ON,,R$,5.91,6.1,5.91,6.0,6.1,5.72,6.13,2,200,1201.0,0.0,0,9999-12-31,1,0.0,BRALUPACNOR8,106
1,2017-11-24,2,ALUP4,10,ALUPAR,PN,,R$,5.71,6.08,5.71,5.89,6.08,5.73,6.06,2,400,2358.0,0.0,0,9999-12-31,1,0.0,BRALUPACNPR5,106
