PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
AALR3,ALLIAR,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
ABCB4,ABC BRASIL,PN,Financial,Financial Intermediaries,Banks
ABEV3,AMBEV S/A,ON,Consumer Non Cyclical,Beverage,Beer and Soft Drinks
ADHM3,ADVANCED-DH,ON,Consumer Non Cyclical,Personal Care and Cleaning Products,Personal Care Products
AELP3,AES ELPA,ON,Utilities,Electric Utilities,Electric Utilities
AGRO3,BRASILAGRO,ON,Consumer Non Cyclical,Farming,Agriculture
ALPA3,ALPARGATAS,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Footwear
ALPA4,ALPARGATAS,PN,Consumer Cyclical,"Textiles, Apparel and Footwear",Footwear
ALSC3,ALIANSCE,ON,Financial,Real Estate,Real Estate
ALUP3,ALUPAR,ON,Utilities,Electric Utilities,Electric Utilities
ALUP4,ALUPAR,PN,Utilities,Electric Utilities,Electric Utilities
AMAR3,LOJAS MARISA,ON,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
ANIM3,ANIMA,ON,Consumer Cyclical,Diversified,Educational Services
ARZZ3,AREZZO CO,ON,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
ATOM3,ATOMPAR,ON,Financial,Others,Others
AZEV4,AZEVEDO,PN,Capital Goods and Services,Construction and Engineering,Heavy Construction
AZUL4,AZUL,PN,Capital Goods and Services,Transportation,Airlines
BAUH4,EXCELSIOR,PN,Consumer Non Cyclical,Food Processors,"Meat, Poultry and Others"
BBAS3,BRASIL,ON,Financial,Financial Intermediaries,Banks
BBDC3,BRADESCO,ON,Financial,Financial Intermediaries,Banks
BBDC4,BRADESCO,PN,Financial,Financial Intermediaries,Banks
BBRK3,BR BROKERS,ON,Financial,Real Estate,Property Agency
BBSE3,BBSEGURIDADE,ON,Financial,"Insurance, Life and Multi-line",Insurance
BEEF3,MINERVA,ON,Consumer Non Cyclical,Food Processors,"Meat, Poultry and Others"
BEES3,BANESTES,ON,Financial,Financial Intermediaries,Banks
BEES4,BANESTES,PN,Financial,Financial Intermediaries,Banks
BGIP4,BANESE,PN,Financial,Financial Intermediaries,Banks
BIOM3,BIOMM,ON,Health,Pharmaceutical and Others Products,Pharmaceutical and Others Products
BMEB3,MERC BRASIL,ON,Financial,Financial Intermediaries,Banks
BMEB4,MERC BRASIL,PN,Financial,Financial Intermediaries,Banks
BMIN3,MERC INVEST,ON,Financial,Financial Intermediaries,Banks
BOBR4,BOMBRIL,PN,Consumer Non Cyclical,Personal Care and Cleaning Products,Cleaning Products
BPAN4,BANCO PAN,PN,Financial,Financial Intermediaries,Banks
BPHA3,BR PHARMA,ON,Health,Retail and Distribution,Pharmaceutical and Others Products
BRAP3,BRADESPAR,ON,Basic Materials,Mining,Metalic Minerals
BRAP4,BRADESPAR,PN,Basic Materials,Mining,Metalic Minerals
BRFS3,BRF SA,ON,Consumer Non Cyclical,Food Processors,"Meat, Poultry and Others"
BRGE12,ALFA CONSORC,PN,Financial,Financial Intermediaries,Banks
BRIN3,BR INSURANCE,ON,Financial,"Insurance, Life and Multi-line",Insurance Brokers
BRIV3,ALFA INVEST,ON,Financial,Financial Intermediaries,Banks
BRIV4,ALFA INVEST,PN,Financial,Financial Intermediaries,Banks
BRKM3,BRASKEM,ON,Basic Materials,Chemicals,Petrochemicals
BRKM5,BRASKEM,PN,Basic Materials,Chemicals,Petrochemicals
BRML3,BR MALLS PAR,ON,Financial,Real Estate,Real Estate
BRPR3,BR PROPERT,ON,Financial,Real Estate,Real Estate
BRSR3,BANRISUL,ON,Financial,Financial Intermediaries,Banks
BRSR5,BANRISUL,PN,Financial,Financial Intermediaries,Banks
BRSR6,BANRISUL,PN,Financial,Financial Intermediaries,Banks
BSEV3,BIOSEV,ON,Consumer Non Cyclical,Food Processors,Sugar and Alcohol
BTOW3,B2W DIGITAL,ON,Consumer Cyclical,Retail,Diversified Retailers
BTTL3,BATTISTELLA,ON,Financial,Holdings - Diversified,Holdings - Diversified
BTTL4,BATTISTELLA,PN,Financial,Holdings - Diversified,Holdings - Diversified
BVMF3,BMFBOVESPA,ON,Financial,Diversified Financial Services,Diversified Financial Services
CAML3,CAMIL,ON,Consumer Non Cyclical,Food Processors,Other Food Manufacturing
CARD3,CSU CARDSYST,ON,Capital Goods and Services,Diversified Services,Diversified Services
CCRO3,CCR SA,ON,Capital Goods and Services,Transportation,Toll Roads and Highways
CCXC3,CCX CARVAO,ON,Basic Materials,Mining,Non Metalics
CEBR5,CEB,PN,Utilities,Electric Utilities,Electric Utilities
