TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
01,2017-11-24,02,AALR3,010,ALLIAR,ON      NM,,R$,15.70,15.95,15.58,15.83,15.95,15.95,16.00,00308,000000000000145500,2303562.00,0.00,0,9999-12-31,0000001,0.00,BRAALRACNOR6,100
01,2017-11-24,96,AALR3F,020,ALLIAR,ON      NM,,R$,16.53,16.53,15.46,16.27,15.63,15.52,16.02,00009,000000000000000168,2734.91,0.00,0,9999-12-31,0000001,0.00,BRAALRACNOR6,100
01,2017-11-24,02,AAPL34,010,APPLE,DRN,,R$,56.65,56.65,56.32,56.37,56.62,55.37,57.63,00004,000000000000002700,152206.00,0.00,0,9999-12-31,0000001,0.00,BRAAPLBDR004,123
01,2017-11-24,96,AAPL34F,020,APPLE,DRN,,R$,59.00,59.00,59.00,59.00,59.00,41.07,58.99,00003,000000000000000022,1298.00,0.00,0,9999-12-31,0000001,0.00,BRAAPLBDR004,123
01,2017-11-24,02,ABCB4,010,ABC BRASIL,PN      N2,,R$,16.83,16.83,16.50,16.57,16.60,16.55,16.60,01251,000000000000745000,12347623.00,0.00,0,9999-12-31,0000001,0.00,BRABCBACNPR4,128
01,2017-11-24,96,ABCB4F,020,ABC BRASIL,PN      N2,,R$,16.70,16.75,16.52,16.67,16.69,16.65,16.69,00032,000000000000000901,15027.15,0.00,0,9999-12-31,0000001,0.00,BRABCBACNPR4,128
01,2017-11-24,62,ABCB4T,030,ABC BRASIL,PN      N2,017,R$,16.64,16.65,16.64,16.64,16.65,0.00,0.00,00002,000000000000006000,99848.08,0.00,0,9999-12-31,0000001,0.00,BRABCBACNPR4,128
01,2017-11-24,12,ABCP11,010,FII ABC IMOB,CI,,R$,16.00,16.20,16.00,16.08,16.20,16.11,16.20,00240,000000000000029775,478793.72,0.00,0,9999-12-31,0000001,0.00,BRABCPCTF000,265
01,2017-11-24,02,ABEV3,010,AMBEV S/A,ON,,R$,20.66,20.74,20.52,20.66,20.62,20.62,20.66,10651,000000000004749100,98118316.00,0.00,0,9999-12-31,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,96,ABEV3F,020,AMBEV S/A,ON,,R$,20.66,20.73,20.55,20.65,20.55,20.55,20.72,00116,000000000000003273,67588.29,0.00,0,9999-12-31,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,62,ABEV3T,030,AMBEV S/A,ON,032,R$,20.82,20.83,20.82,20.82,20.83,0.00,0.00,00002,000000000000008000,166612.43,0.00,0,9999-12-31,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,62,ABEV3T,030,AMBEV S/A,ON,060,R$,20.90,20.91,20.90,20.90,20.91,0.00,0.00,00002,000000000000002500,52273.87,0.00,0,9999-12-31,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVA70,070,ABEV  FM,ON,000,R$,1.07,1.07,1.07,1.07,1.07,0.00,0.00,00001,000000000000010000,10700.00,19.92,0,2018-01-15,0000001,0.00,BRABEVACNOR1,115
01,2017-11-24,78,ABEVA80,070,ABEVE,ON,000,R$,0.61,0.61,0.61,0.61,0.61,0.00,0.00,00001,000000000000004400,2684.00,20.67,0,2018-01-15,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVA81,070,ABEVE,ON,000,R$,0.31,0.31,0.31,0.31,0.31,0.00,0.00,00001,000000000000008800,2728.00,21.17,0,2018-01-15,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVD74,070,ABEVE,ON,000,R$,0.45,0.45,0.45,0.45,0.45,0.00,0.00,00017,000000000000388500,174825.00,22.09,0,2018-04-16,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,78,ABEVD94,070,ABEVE,ON,000,R$,0.25,0.30,0.17,0.23,0.30,0.00,0.00,00017,000000000000388500,91000.00,24.09,0,2018-04-16,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVL20,070,ABEV,ON,000,R$,0.59,0.63,0.58,0.60,0.61,0.56,0.00,00012,000000000000100000,60600.00,20.29,0,2017-12-18,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVL49,070,ABEV  FM,ON,000,R$,1.05,1.10,1.05,1.08,1.08,0.11,0.00,00005,000000000000050000,54200.00,19.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,78,ABEVL50,070,ABEV  FM,ON,000,R$,0.34,0.36,0.31,0.33,0.34,0.26,0.35,00006,000000000000024200,8149.00,20.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVL51,070,ABEV  FM,ON,000,R$,0.07,0.07,0.07,0.07,0.07,0.05,0.15,00001,000000000000001000,70.00,21.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,78,ABEVL61,070,ABEVE,ON,000,R$,0.22,0.22,0.22,0.22,0.22,0.00,0.30,00001,000000000000001000,220.00,21.04,0,2017-12-18,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,78,ABEVL70,070,ABEVE,ON,000,R$,0.52,0.52,0.47,0.47,0.48,0.00,0.00,00004,000000000000407000,195040.00,20.54,0,2017-12-18,0000001,0.00,BRABEVACNOR1,114
01,2017-11-24,82,ABEVP82,080,ABEVE,ON,000,R$,0.45,0.50,0.35,0.42,0.50,0.00,0.00,00017,000000000000388500,167000.00,20.09,0,2018-04-16,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,82,ABEVP88,080,ABEVE,ON,000,R$,0.15,0.15,0.13,0.14,0.15,0.00,0.00,00019,000000000000391500,57025.00,18.09,0,2018-04-16,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,82,ABEVX49,080,ABEVE  FM,ON,000,R$,0.09,0.09,0.06,0.06,0.06,0.00,0.00,00002,000000000000001400,96.00,19.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,82,ABEVX50,080,ABEVE  FM,ON,000,R$,0.37,0.40,0.37,0.38,0.40,0.05,1.50,00002,000000000000019200,7404.00,20.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,117
01,2017-11-24,82,ABEVX51,080,ABEVE  FM,ON,000,R$,1.08,1.08,1.08,1.08,1.08,0.00,1.30,00001,000000000000010000,10800.00,21.79,0,2017-12-18,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,82,ABEVX78,080,ABEVE,ON,000,R$,0.02,0.02,0.02,0.02,0.02,0.00,0.00,00001,000000000000010000,200.00,18.04,0,2017-12-18,0000001,0.00,BRABEVACNOR1,116
01,2017-11-24,02,ADHM3,010,ADVANCED-DH,ON,,R$,2.06,2.06,2.00,2.05,2.06,2.00,2.06,00008,000000000000012600,25866.00,0.00,0,9999-12-31,0000001,0.00,BRADHMACNOR9,101
01,2017-11-24,96,ADHM3F,020,ADVANCED-DH,ON,,R$,1.91,2.10,1.90,1.90,2.10,1.90,2.10,00003,000000000000000076,145.08,0.00,0,9999-12-31,0000001,0.00,BRADHMACNOR9,101
01,2017-11-24,12,AEFI11,010,FII AESAPAR,CI,,R$,165.50,166.50,164.05,165.85,166.09,165.00,166.09,00026,000000000000000542,89890.98,0.00,0,9999-12-31,0000001,0.00,BRAEFICTF002,171
01,2017-11-24,02,AELP3,010,AES ELPA,ON,,R$,5.06,5.07,5.05,5.05,5.05,4.05,5.05,00009,000000000000007800,39398.00,0.00,0,9999-12-31,0000001,0.00,BRAELPACNOR2,124
01,2017-11-24,96,AELP3F,020,AES ELPA,ON,,R$,5.50,5.50,5.20,5.35,5.20,4.52,5.49,00005,000000000000000080,428.00,0.00,0,9999-12-31,0000001,0.00,BRAELPACNOR2,124
01,2017-11-24,12,AGCX11,010,FII AG CAIXA,CI,,R$,1259.94,1265.00,1250.00,1254.68,1265.00,1253.00,1265.00,00041,000000000000000265,332492.76,0.00,0,9999-12-31,0000001,0.00,BRAGCXCTF003,160
01,2017-11-24,02,AGRO3,010,BRASILAGRO,ON      NM,,R$,12.14,12.14,11.98,12.05,12.13,12.00,12.13,00099,000000000000025800,310919.00,0.00,0,9999-12-31,0000001,0.00,BRAGROACNOR7,107
01,2017-11-24,96,AGRO3F,020,BRASILAGRO,ON      NM,,R$,12.07,12.07,12.07,12.07,12.07,11.54,12.05,00001,000000000000000014,168.98,0.00,0,9999-12-31,0000001,0.00,BRAGROACNOR7,107
01,2017-11-24,12,ALMI11,010,FII TORRE AL,CI,,R$,1700.00,1720.00,1682.01,1702.65,1720.00,1700.05,1720.00,00040,000000000000000132,224751.07,0.00,0,9999-12-31,0000001,0.00,BRALMICTF003,249
01,2017-11-24,02,ALPA3,010,ALPARGATAS,ON  EJ  N1,,R$,16.27,16.50,15.40,15.84,15.95,15.47,15.96,00018,000000000000003300,52300.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNOR0,223
01,2017-11-24,96,ALPA3F,020,ALPARGATAS,ON  EJ  N1,,R$,15.77,15.77,15.77,15.77,15.77,15.80,16.49,00001,000000000000000043,678.11,0.00,0,9999-12-31,0000001,0.00,BRALPAACNOR0,223
01,2017-11-24,02,ALPA4,010,ALPARGATAS,PN  EJ  N1,,R$,17.51,17.55,17.05,17.19,17.20,17.10,17.20,00633,000000000001228700,21132728.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,96,ALPA4F,020,ALPARGATAS,PN  EJ  N1,,R$,17.30,17.30,17.15,17.25,17.29,17.10,17.70,00008,000000000000000212,3657.08,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,62,ALPA4T,030,ALPARGATAS,PN  EJ  N1,060,R$,17.39,17.40,17.39,17.39,17.40,0.00,0.00,00004,000000000001000000,17391952.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,02,ALSC3,010,ALIANSCE,ON      NM,,R$,17.27,17.59,17.22,17.43,17.59,17.36,17.59,01091,000000000000214800,3745739.00,0.00,0,9999-12-31,0000001,0.00,BRALSCACNOR0,110
01,2017-11-24,96,ALSC3F,020,ALIANSCE,ON      NM,,R$,17.35,17.50,17.28,17.39,17.40,16.50,17.50,00018,000000000000000704,12245.73,0.00,0,9999-12-31,0000001,0.00,BRALSCACNOR0,110
