trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-151.8145438523781,"{0: 19, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,1,-154.9286882712836,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-166.83428873438044,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-233.33678767419923,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-30.969399210752705,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-190.86843653825173,"{0: 25, 1: 0, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-79.13678491602948,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-89.97624499258593,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-108.70712272106786,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-5.143582215111281,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-69.2064087349564,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.48569842547616,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-9.68120141348943,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-31.753685747988776,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,0.20778021433911953,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-128.6935268315875,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-70.28352874533803,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-112.65815480363267,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-91.34592599436397,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,-36.48876241798704,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,5.147773798823415,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-31.982190161368838,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.3829008366238,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,16,8.687644498522497,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-81.55864386470581,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.31378012689127,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,19,-23.842416566408005,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,1,-54.18178682271555,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,2.9974410399036917,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-105.5896140763417,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
