trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 1.0}",20,0,-177.21287820622285,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.999, 'e': 1.0}",20,0,-80.55132476111866,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.999, 'e': 1.0}",20,9,-0.566135645629956,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.999, 'e': 1.0}",30,0,-168.7007796773584,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.999, 'e': 1.0}",20,0,-75.38553504865224,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.999, 'e': 1.0}",25,0,-131.50707383859364,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.999, 'e': 1.0}",20,0,-131.85933341327097,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.999, 'e': 1.0}",30,0,-230.730944522008,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.999, 'e': 1.0}",20,0,-144.8163523103969,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.999, 'e': 1.0}",25,12,-17.397959154964365,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.999, 'e': 1.0}",25,0,-174.36819495323445,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.999, 'e': 1.0}",25,0,-35.22554956426653,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.999, 'e': 1.0}",20,0,-177.4911152573403,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.999, 'e': 1.0}",25,0,-62.43283196114442,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.999, 'e': 1.0}",20,0,-167.53838855782337,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
16,False,"{'a': 0.999, 'e': 1.0}",20,9,5.708013929882904,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.999, 'e': 1.0}",25,0,-154.34597308951356,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.999, 'e': 1.0}",25,0,-200.30000815000167,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.999, 'e': 1.0}",25,0,-44.433761919214675,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.999, 'e': 1.0}",25,0,-56.085430945463415,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
21,False,"{'a': 0.999, 'e': 1.0}",25,0,-138.08634164423063,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.999, 'e': 1.0}",30,0,-186.90270263559435,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
23,False,"{'a': 0.999, 'e': 1.0}",20,0,-193.7912463892657,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.999, 'e': 1.0}",25,0,-83.79737545281567,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.999, 'e': 1.0}",20,0,-106.19923460126394,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.999, 'e': 1.0}",30,16,-102.61843654431817,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
27,False,"{'a': 0.999, 'e': 1.0}",25,16,3.0817764873319566,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.999, 'e': 1.0}",30,0,-204.76046500850794,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
29,False,"{'a': 0.999, 'e': 1.0}",20,0,-32.129330020539555,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.999, 'e': 1.0}",25,3,-96.46121621285397,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 1}",1
31,False,"{'a': 0.999, 'e': 1.0}",25,0,-98.17182554995141,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.999, 'e': 1.0}",30,0,-285.6184021347701,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 5}",0
33,False,"{'a': 0.999, 'e': 1.0}",20,0,-80.88578266526896,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.999, 'e': 1.0}",20,0,-80.48239781502402,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.999, 'e': 1.0}",25,0,-242.28536928198548,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
36,False,"{'a': 0.999, 'e': 1.0}",20,0,-200.54445884936658,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
37,False,"{'a': 0.999, 'e': 1.0}",30,0,-111.38085504941904,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.999, 'e': 1.0}",25,0,-73.98185214615542,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.999, 'e': 1.0}",20,0,-86.24783392168769,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.999, 'e': 1.0}",25,0,-171.67658948889533,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
41,False,"{'a': 0.999, 'e': 1.0}",20,0,-98.30614995976863,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
42,False,"{'a': 0.999, 'e': 1.0}",25,0,-102.38189628804486,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
43,False,"{'a': 0.999, 'e': 1.0}",20,0,-130.97652690426526,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.999, 'e': 1.0}",30,0,-287.8435390113158,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 5}",0
45,False,"{'a': 0.999, 'e': 1.0}",25,0,-238.6159055228607,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 6}",1
46,False,"{'a': 0.999, 'e': 1.0}",20,0,-78.29696258318793,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.999, 'e': 1.0}",20,0,-115.2426188009406,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.999, 'e': 1.0}",30,0,-89.39760140193037,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.999, 'e': 1.0}",25,0,-96.39156540733453,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.999, 'e': 1.0}",20,0,-182.47854426453443,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
51,False,"{'a': 0.999, 'e': 1.0}",30,0,-195.8553971706527,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
52,False,"{'a': 0.999, 'e': 1.0}",20,0,-155.01941987171728,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
53,False,"{'a': 0.999, 'e': 1.0}",20,0,-128.9556772890685,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
54,False,"{'a': 0.999, 'e': 1.0}",20,0,-100.15776470782869,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
55,False,"{'a': 0.999, 'e': 1.0}",25,0,-20.394169094696778,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.999, 'e': 1.0}",20,0,-103.39759545790567,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.999, 'e': 1.0}",35,0,-139.67100797093752,"{0: 24, 1: 3, 2: 4, 3: 2, 4: 2}",0
58,False,"{'a': 0.999, 'e': 1.0}",25,0,-130.48648133211134,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.999, 'e': 1.0}",20,0,-132.27569180587784,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.999, 'e': 1.0}",25,0,-120.06326323000314,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.999, 'e': 1.0}",25,0,-169.41477937655318,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
62,False,"{'a': 0.999, 'e': 1.0}",20,0,-69.84580000493708,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.999, 'e': 1.0}",25,0,-157.81905812033304,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
64,False,"{'a': 0.999, 'e': 1.0}",20,0,-170.77175148265817,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
65,False,"{'a': 0.999, 'e': 1.0}",25,0,-88.22640873666431,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.999, 'e': 1.0}",20,0,-112.16959543103161,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
67,False,"{'a': 0.999, 'e': 1.0}",25,0,-105.65018668982341,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.999, 'e': 1.0}",20,0,-173.04431985300607,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
69,False,"{'a': 0.999, 'e': 1.0}",35,0,-180.8341730252053,"{0: 22, 1: 5, 2: 3, 3: 2, 4: 3}",0
70,False,"{'a': 0.999, 'e': 1.0}",20,0,-208.55040508058147,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
71,False,"{'a': 0.999, 'e': 1.0}",20,0,-11.331505352568929,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.999, 'e': 1.0}",30,0,-168.36509247332526,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
73,False,"{'a': 0.999, 'e': 1.0}",25,0,-68.77200531307703,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
74,False,"{'a': 0.999, 'e': 1.0}",30,16,-111.53691048052583,"{0: 7, 1: 1, 2: 2, 3: 3, 4: 1}",1
75,False,"{'a': 0.999, 'e': 1.0}",20,0,-195.61537800743008,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
76,False,"{'a': 0.999, 'e': 1.0}",25,0,-205.54616183974798,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
77,False,"{'a': 0.999, 'e': 1.0}",20,0,-32.14140702735144,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.999, 'e': 1.0}",25,0,-185.13017037008103,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
79,False,"{'a': 0.999, 'e': 1.0}",20,0,-136.3570035831066,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
80,False,"{'a': 0.999, 'e': 1.0}",25,0,-159.19444593609987,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.999, 'e': 1.0}",20,0,-12.800051234926407,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.999, 'e': 1.0}",35,0,-193.43648024280327,"{0: 22, 1: 2, 2: 6, 3: 3, 4: 2}",0
83,False,"{'a': 0.999, 'e': 1.0}",25,0,-158.88054452396432,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
84,False,"{'a': 0.999, 'e': 1.0}",20,0,-91.40513926142245,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.999, 'e': 1.0}",30,0,-136.11081822025596,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
86,False,"{'a': 0.999, 'e': 1.0}",25,0,-78.97466051115016,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.999, 'e': 1.0}",20,0,-39.55086773460765,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.999, 'e': 1.0}",20,0,-185.06882634552386,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
89,False,"{'a': 0.999, 'e': 1.0}",30,0,-181.78209575211977,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
90,False,"{'a': 0.999, 'e': 1.0}",25,0,-111.68571331114624,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
91,False,"{'a': 0.999, 'e': 1.0}",25,0,-48.37293361496611,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
92,False,"{'a': 0.999, 'e': 1.0}",20,0,-77.45521229039677,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
93,False,"{'a': 0.999, 'e': 1.0}",25,0,-174.33564798087687,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
94,False,"{'a': 0.999, 'e': 1.0}",20,0,-67.80159065821883,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
95,False,"{'a': 0.999, 'e': 1.0}",20,0,-137.80202811142644,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
96,False,"{'a': 0.999, 'e': 1.0}",30,0,-172.91563746835058,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
97,False,"{'a': 0.999, 'e': 1.0}",20,0,-124.62048048827752,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
98,False,"{'a': 0.999, 'e': 1.0}",20,0,-109.39847594401763,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
99,False,"{'a': 0.999, 'e': 1.0}",30,0,-174.24191445098015,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
100,False,"{'a': 0.999, 'e': 1.0}",20,0,-136.92982447520276,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
101,False,"{'a': 0.999, 'e': 1.0}",20,4,-169.63179310672209,"{0: 6, 1: 2, 2: 3, 3: 3, 4: 2}",1
102,False,"{'a': 0.999, 'e': 1.0}",20,0,-225.45881654307937,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
103,False,"{'a': 0.999, 'e': 1.0}",25,14,-57.14709154960069,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
104,False,"{'a': 0.999, 'e': 1.0}",30,0,-191.41339167910638,"{0: 14, 1: 5, 2: 6, 3: 4, 4: 1}",0
105,False,"{'a': 0.999, 'e': 1.0}",20,0,-268.6994130263405,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 6}",0
106,False,"{'a': 0.999, 'e': 1.0}",20,0,-99.01612881222596,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
107,False,"{'a': 0.999, 'e': 1.0}",20,0,-96.8715073555912,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
108,False,"{'a': 0.999, 'e': 1.0}",20,0,-65.53152603744526,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
109,False,"{'a': 0.999, 'e': 1.0}",30,0,-196.2390584065951,"{0: 15, 1: 3, 2: 6, 3: 5, 4: 1}",0
110,False,"{'a': 0.999, 'e': 1.0}",20,0,-107.46525476436453,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
111,False,"{'a': 0.999, 'e': 1.0}",25,0,-153.25409748051723,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
112,False,"{'a': 0.999, 'e': 1.0}",25,0,-136.57778024359683,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
113,False,"{'a': 0.999, 'e': 1.0}",20,0,-33.28425080255622,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.999, 'e': 1.0}",20,0,-66.05753154906277,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
115,False,"{'a': 0.999, 'e': 1.0}",25,0,-124.84885128679532,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
116,False,"{'a': 0.999, 'e': 1.0}",20,0,-132.07555452714695,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
117,False,"{'a': 0.999, 'e': 1.0}",30,0,-106.51123664619611,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
118,False,"{'a': 0.999, 'e': 1.0}",20,0,-85.32048262726893,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",1
119,False,"{'a': 0.999, 'e': 1.0}",20,0,-52.558338243900934,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
120,False,"{'a': 0.999, 'e': 1.0}",20,0,-118.33035302545875,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.999, 'e': 1.0}",20,0,-86.78038412019495,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
122,False,"{'a': 0.999, 'e': 1.0}",35,0,-244.5908584322837,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
123,False,"{'a': 0.999, 'e': 1.0}",30,0,-146.3982861212831,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
124,False,"{'a': 0.999, 'e': 1.0}",30,0,-214.0379570741608,"{0: 13, 1: 8, 2: 5, 3: 1, 4: 3}",0
125,False,"{'a': 0.999, 'e': 1.0}",20,0,-137.6268532948328,"{0: 7, 1: 2, 2: 9, 3: 2, 4: 0}",0
126,False,"{'a': 0.999, 'e': 1.0}",20,0,-63.42198156899387,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
127,False,"{'a': 0.999, 'e': 1.0}",30,0,-95.72565308964766,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
128,False,"{'a': 0.999, 'e': 1.0}",20,12,4.995350503660947,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.999, 'e': 1.0}",30,0,-160.98897284961927,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
130,False,"{'a': 0.999, 'e': 1.0}",35,0,-170.198162195535,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
131,False,"{'a': 0.999, 'e': 1.0}",25,0,-75.9154004033274,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
132,False,"{'a': 0.999, 'e': 1.0}",20,0,-252.56733747504597,"{0: 8, 1: 0, 2: 6, 3: 2, 4: 4}",0
133,False,"{'a': 0.999, 'e': 1.0}",20,0,-21.460717648405907,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
134,False,"{'a': 0.999, 'e': 1.0}",20,0,-31.10467484631822,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
135,False,"{'a': 0.999, 'e': 1.0}",30,0,-144.2108372457089,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
136,False,"{'a': 0.999, 'e': 1.0}",30,0,-129.1366487045648,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
137,False,"{'a': 0.999, 'e': 1.0}",20,0,-85.24508139836085,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
138,False,"{'a': 0.999, 'e': 1.0}",20,0,-3.6356334789265983,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.999, 'e': 1.0}",20,0,-137.4658349865665,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
140,False,"{'a': 0.999, 'e': 1.0}",20,0,-80.94797854377524,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.999, 'e': 1.0}",30,0,-186.62884745898998,"{0: 15, 1: 7, 2: 5, 3: 0, 4: 3}",0
142,False,"{'a': 0.999, 'e': 1.0}",25,0,-246.56810364358,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
143,False,"{'a': 0.999, 'e': 1.0}",20,0,-116.7032830266367,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
144,False,"{'a': 0.999, 'e': 1.0}",20,0,-103.99279581152658,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
145,False,"{'a': 0.999, 'e': 1.0}",25,0,-158.88790452384572,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
146,False,"{'a': 0.999, 'e': 1.0}",20,11,-72.25042080420744,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.999, 'e': 1.0}",20,0,-48.45086140660448,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.999, 'e': 1.0}",20,0,-97.27879989515986,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
149,False,"{'a': 0.999, 'e': 1.0}",20,0,-48.90586899295027,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
150,False,"{'a': 0.999, 'e': 1.0}",25,0,-50.825964864779884,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
151,False,"{'a': 0.999, 'e': 1.0}",20,0,-124.79365478460329,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
152,False,"{'a': 0.999, 'e': 1.0}",20,12,-31.29688222211097,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
153,False,"{'a': 0.999, 'e': 1.0}",20,0,-181.88797621843932,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
154,False,"{'a': 0.999, 'e': 1.0}",20,0,-164.73060560350123,"{0: 7, 1: 6, 2: 2, 3: 4, 4: 1}",0
155,False,"{'a': 0.999, 'e': 1.0}",30,0,-169.01463543000716,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
156,False,"{'a': 0.999, 'e': 1.0}",35,0,-141.03435478049386,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
157,False,"{'a': 0.999, 'e': 1.0}",20,0,-131.0328866191697,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
158,False,"{'a': 0.999, 'e': 1.0}",30,0,-130.78603519058495,"{0: 17, 1: 2, 2: 8, 3: 3, 4: 0}",0
159,False,"{'a': 0.999, 'e': 1.0}",25,0,-222.2606598345505,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
160,False,"{'a': 0.999, 'e': 1.0}",20,0,-126.3864401420254,"{0: 6, 1: 7, 2: 6, 3: 0, 4: 1}",0
161,False,"{'a': 0.999, 'e': 1.0}",30,0,-245.56219780919665,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
162,False,"{'a': 0.999, 'e': 1.0}",25,0,-82.62848580955979,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
163,False,"{'a': 0.999, 'e': 1.0}",25,0,-127.268165477772,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
164,False,"{'a': 0.999, 'e': 1.0}",25,0,-149.16780236528587,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
165,False,"{'a': 0.999, 'e': 1.0}",25,0,-140.74831281429786,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
166,False,"{'a': 0.999, 'e': 1.0}",25,0,-92.15381410224428,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
