trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.0211889105183,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.129511432936,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.55556268270658,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.57798392849946,"{0: 13, 1: 6, 2: 2, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.09858502833862,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.35391722419514,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.43097518082297,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.13633294121466,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.65645734162553,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.83952503848472,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.49193487512548,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-112.59336868415599,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.952962007457899,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.33622873992398,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.71359166059301,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.45865820451435,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.40217310217727,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.73999028618158,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,7,-59.333429941706946,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.97210545366283,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.56913319952986,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-1.459192467584407,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.52669583121792,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.1290186913792,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.3052528889313,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.49751651033695,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-227.2906435659135,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-117.30938462212409,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.42025422664236,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,7,-91.41721347781348,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 1}",1
